Date, GDP (Billions of US $), Per Capita (US $), Annual % Change
12/31/1991,55.4468,,
12/31/2003,54.7732,-0.67,
12/31/2006,70.1983,15.43,
12/31/2008,51.0777,-19.12,
12/31/2018,62.016,10.94,
