Date, GDP (Billions of US $), Per Capita (US $), Annual % Change
12/31/1985,93.4,,
12/31/1992,92.4,-1,
12/31/1996,92.7,0.3,
12/31/2003,94,1.3,
12/31/2010,90.8,-3.2,
12/31/2012,90.5,-0.3,
12/31/2015,89.5,-1,
12/31/2018,90.8,1.3,
