Date, GDP (Billions of US $), Per Capita (US $), Annual % Change
12/31/1960,94133,,
12/31/1965,121891,,
12/31/1970,157835,,
12/31/1975,704377,,
12/31/1980,1314845,,
12/31/1985,347909,,
12/31/1990,456621,0.4776,
12/31/1995,462999,0.427,
12/31/2000,487882,0.397,
12/31/2005,648019,0.4642,
12/31/2010,920118,0.5771,
12/31/2015,1199115,0.6581,
